wl_nm,FWHM_nm
1033.95558,9.8481
1041.27648,9.88649
1048.59849,9.92406
1055.92162,9.96084
1063.24588,9.99682
1070.57125,10.03201
1077.89775,10.06642
1085.22537,10.10004
1092.5541,10.13289
1099.88396,10.16497
1107.21494,10.19629
1114.54703,10.22685
1121.88025,10.25666
1129.21459,10.28572
1136.55005,10.31404
1143.88663,10.34162
1151.22433,10.36848
1158.56315,10.39461
1165.90309,10.42001
1173.24415,10.44471
1180.58633,10.46869
1187.92963,10.49198
1195.27406,10.51456
1202.6196,10.53645
1209.96626,10.55766
1217.31405,10.57819
1224.66295,10.59803
1232.01298,10.61721
1239.36412,10.63573
1246.71639,10.65358
1254.06977,10.67078
1261.42428,10.68733
1268.77991,10.70324
1276.13665,10.71851
1283.49452,10.73315
1290.85351,10.74716
1298.21362,10.76055
1305.57485,10.77333
1312.9372,10.7855
1320.30067,10.79706
1327.66526,10.80802
1335.03097,10.81839
1342.3978,10.82817
1349.76575,10.83736
1357.13483,10.84598
1364.50502,10.85403
1371.87633,10.86151
1379.24877,10.86843
1386.62232,10.8748
1393.997,10.88061
1401.37279,10.88588
1408.74971,10.89061
1416.12774,10.89481
1423.5069,10.89848
1430.88718,10.90163
1438.26857,10.90425
1445.65109,10.90637
1453.03473,10.90798
1460.41949,10.9091
1467.80537,10.90971
1475.19237,10.90984
1482.58049,10.90948
1489.96973,10.90864
1497.36009,10.90733
1504.75157,10.90555
1512.14417,10.90331
1519.5379,10.90061
1526.93274,10.89746
1534.3287,10.89387
1541.72579,10.88983
1549.12399,10.88536
1556.52332,10.88046
1563.92376,10.87514
1571.32533,10.86939
1578.72801,10.86323
1586.13182,10.85667
1593.53675,10.8497
1600.94279,10.84234
1608.34996,10.83458
1615.75825,10.82644
1623.16766,10.81792
1630.57819,10.80903
1637.98984,10.79976
1645.40261,10.79013
1652.8165,10.78014
1660.23151,10.7698
1667.64764,10.75911
1675.06489,10.74808
1682.48327,10.73671
1689.90276,10.72502
1697.32337,10.71299
1704.7451,10.70065
1712.16796,10.68799
1719.59193,10.67502
1727.01703,10.66175
1734.44324,10.64818
1741.87058,10.63431
1749.29904,10.62016
1756.72861,10.60573
1764.15931,10.59102
1771.59113,10.57604
1779.02407,10.56079
1786.45813,10.54529
1793.89331,10.52953
1801.3296,10.51352
1808.76702,10.49727
1816.20557,10.48078
1823.64523,10.46405
1831.08601,10.4471
1838.52791,10.42993
1845.97093,10.41254
1853.41507,10.39494
1860.86034,10.37713
1868.30672,10.35913
1875.75423,10.34093
1883.20285,10.32254
1890.6526,10.30397
1898.10346,10.28522
1905.55545,10.2663
1913.00855,10.24721
1920.46278,10.22796
1927.91813,10.20855
1935.3746,10.189
1942.83218,10.16929
1950.29089,10.14945
1957.75072,10.12948
1965.21167,10.10937
1972.67374,10.08914
1980.13693,10.0688
1987.60124,10.04834
1995.06667,10.02777
2002.53323,10.00711
2010.0009,9.98634
2017.46969,9.96549
2024.9396,9.94455
2032.41064,9.92354
2039.88279,9.90244
2047.35607,9.88128
2054.83046,9.86006
2062.30598,9.83878
2069.78261,9.81745
2077.26037,9.79607
2084.73925,9.77465
2092.21924,9.75319
2099.70036,9.73171
2107.1826,9.7102
2114.66596,9.68867
2122.15044,9.66712
2129.63604,9.64557
2137.12276,9.62401
2144.6106,9.60246
2152.09956,9.58092
2159.58964,9.55938
2167.08084,9.53787
2174.57316,9.51638
2182.0666,9.49493
2189.56117,9.4735
2197.05685,9.45212
2204.55366,9.43079
2212.05158,9.4095
2219.55062,9.38828
2227.05079,9.36711
2234.55208,9.34602
2242.05448,9.325
2249.55801,9.30405
2257.06266,9.2832
2264.56842,9.26243
2272.07531,9.24176
2279.58332,9.22119
2287.09245,9.20072
2294.6027,9.18037
2302.11407,9.16014
2309.62656,9.14002
2317.14017,9.12004
2324.6549,9.10019
2332.17075,9.08048
2339.68772,9.06091
2347.20582,9.0415
2354.72503,9.02224
2362.24536,9.00314
2369.76682,8.98421
2377.28939,8.96545
2384.81309,8.94687
2392.3379,8.92847
2399.86384,8.91026
2407.39089,8.89225
2414.91907,8.87443
2422.44837,8.85682
2429.97879,8.83942
2437.51032,8.82223
2445.04298,8.80527
2452.57676,8.78853
2460.11166,8.77203
2467.64768,8.75576
2475.18482,8.73974
2482.72308,8.72397
2490.26246,8.70845
2497.80296,8.69319
2505.34459,8.67819
2512.88733,8.66347
2520.43119,8.64902
2527.97618,8.63485
2535.52228,8.62097
2543.0695,8.60739
2550.61785,8.5941
2558.16731,8.58111
2565.7179,8.56844
2573.26961,8.55607
2580.82243,8.54403
2588.37638,8.53232
2595.93145,8.52093
2603.48763,8.50988
2611.04494,8.49917
2618.60337,8.48881
2626.16292,8.4788
2633.72359,8.46916
2641.28538,8.45987
2648.84829,8.45095
2656.41232,8.44241
2663.97747,8.43425
2671.54375,8.42647
2679.11114,8.41909
2686.67965,8.4121
2694.24929,8.40551
2701.82004,8.39933
2709.39191,8.39357
2716.96491,8.38822
2724.53902,8.38329
2732.11426,8.3788
2739.69062,8.37474
2747.26809,8.37112
2754.84669,8.36794
2762.42641,8.36522
2770.00724,8.36295
2777.5892,8.36115
2785.17228,8.35981
2792.75648,8.35895
2800.3418,8.35856
2807.92824,8.35866
2815.5158,8.35925
2823.10448,8.36034
2830.69428,8.36192
2838.28521,8.36401
2845.87725,8.36661
2853.47041,8.36973
2861.06469,8.37337
2868.6601,8.37754
2876.25662,8.38224
2883.85427,8.38748
2891.45303,8.39327
2899.05292,8.3996
2906.65392,8.40649
2914.25605,8.41394
2921.8593,8.42196
2929.46367,8.43054
2937.06915,8.43971
2944.67576,8.44946
2952.28349,8.45979
2959.89234,8.47072
2967.50231,8.48225
2975.1134,8.49438
2982.72561,8.50712
2990.33894,8.52048
2997.95339,8.53446
3005.56896,8.54906
3013.18566,8.5643
3020.80347,8.58017
3028.4224,8.59669
3036.04246,8.61385
3043.66363,8.63167
3051.28592,8.65015
3058.90934,8.66929
3066.53388,8.6891
3074.15953,8.70959
3081.78631,8.73076
3089.4142,8.75261
3097.04322,8.77516
3104.67336,8.7984
3112.30462,8.82235
3119.937,8.847
3127.5705,8.87237
3135.20512,8.89846
3142.84086,8.92527
3150.47772,8.95282
3158.1157,8.9811
3165.7548,9.01012
3173.39502,9.03988
3181.03636,9.0704
3188.67883,9.10168
3196.32241,9.13372
3203.96711,9.16653
3211.61294,9.20011
3219.25988,9.23447
3226.90795,9.26962
3234.55713,9.30555
3242.20744,9.34229
3249.85886,9.37982
3257.51141,9.41816
3265.16508,9.45731
3272.81987,9.49729
3280.47577,9.53808
3288.1328,9.5797
3295.79095,9.62216
3303.45022,9.66546
3311.11061,9.7096
3318.77212,9.75459
3326.43475,9.80044
3334.0985,9.84715
3341.76338,9.89473
3349.42937,9.94318
3357.09648,9.99251
3364.76471,10.04272
3372.43407,10.09382
3380.10454,10.14581
3387.77614,10.19871
3395.44885,10.2525
3403.12269,10.30721
3410.79764,10.36284
3418.47372,10.41939
3426.15092,10.47687
